,id,title,date,news_url,paragraph,source,category
10,11,航廈/擴建/弊案/工程處長/涉貪/判刑,2022-04-12 14:36,/news/story/7321/6233348?from=udn-catebreaknews_ch2,公司/工程處長/涉嫌/利用/航廈/擴建/機會/多次/定/洩露/給/廠商/收取/檢調/搜索/住家陽台/找到/現金/桃園地/院/依/洩密/貪污/等/罪/判處/到/罪/判處/等/期/易科/罰金部分/執行/褫/奪/公權/得/易科/罰金部分/執行/上訴/全案/另/有/多/被告/具/公務員/身分者/助理/工程師/也/收取/回扣/判刑/褫/奪/公權/據悉/底/航廈/剛/開始/擴建/不久/地檢署/接獲/線報/展開/監控/陸續/有內/部/人/航廈/漏水/認為/施工/品質/太爛/檢舉/歲/長期/接受/包/商賄/款/供養/質疑/發包/資金/挪去/行賄/導致/工程/品質/彰/檢調/形容/很/敢拿/也/相當/小心/留下/紀錄/密集/監控/多/認/機/成熟/展開/搜索/最後/也/住處/陽台/找到/現金/進一步/追查/航廈/有/標案/可疑/涉嫌/洩漏/底價/變更/追加/預算/浮報/工程/價格/單/最高/收取/賄款/檢方/查出/公司/辦理/第二/航廈/擴建/工程/公開/招標/新亞/建設/公司/益鼎/工程/公司/共同/得標/報請/變更/設計/見/同年/王姓/副總/工程師/索討/回扣/約/工程費/取/約/吳姓/工程師/收取/回扣窗/口/也/指定/另/名吳姓/男子/擔任/新亞協力/廠商/吳/表/感謝/也/交付/現金/公司/道面/維護/工程/招標/也/洩漏/價格/幫助/旺誠/營造/公司/得標/審理/坦承/航廈/擴建/工程弊案/否認/利用/道面工程/收/回扣/辯稱/廠商/主動/給/吃/回答/謝謝/人/這麼客氣/法院/認為/行為/有損/官箴/坦承/部分/犯行/繳回/法/所得/道面/維護案/約/賄賂/部分/知/悔悟/最後/審酌/科/犯罪/生/危害/等/情/量刑,udn,社會
11,12,凶殺/案檢警相/驗/死者/頸部/胸口/鼻梁/傷,2022-04-12 14:47,/news/story/7315/6233390?from=udn-catebreaknews_ch2,市/發生/凶殺案/王姓/男子/疑/不滿/鄰居/積欠/還/雜貨/店/拿/藏/裁縫/用/彈簧刀/猛刺/脖子/多刀傷/重/送醫/治/當場/捕/檢警/會同/法醫相/驗/發現/左頸/方/後頸/胸口/鼻梁/有/傷口/檢方/指出/死/待/解剖/釐清/家人/前往/立/驗/指認/遺體/悲/來/低頭/哽咽/家人/不斷/安撫/情緒/檢方/召開/偵查庭/詢問/目擊/證人/案發/情景/檢警/會同/法醫相/驗/家人/希望/給/死者/公道/警方/調查/歲/死者/人/不僅/熟識/鄰居/常/有借/貸/往來/手頭/緊/死者/索討/積欠/不成/不滿/對方/還錢/死者/抱怨/不斷/催討/爆發/口角/疑/埋下/殺機/案發/現場/雜貨/店/喝酒/見/走路/經/迅速/身/拿出/預/藏/裁縫/用/彈簧刀/直接/朝/頸部/猛/刺數刀/根本/閃避/不及/脖子/胸/等/處滿/是鮮血/當場/體力/支/倒/血泊,udn,社會
12,13,傳/失智/老翁/走失/熱心/民眾/發現/協助/送回家,2022-04-12 14:52,/news/story/7320/6233404?from=udn-catebreaknews_ch2,輕微/李姓/老翁/獨自/騎/機車/外出/失聯/家屬/憂心/已/報警/也/上網/PO/文/請/民眾/協尋/經/警方/連續/動員/警民力/共同/努力/終於/碧湖/社區/盧姓/民眾/發現/老翁/送回家/家屬/看到/老翁/總算/放下/心/大石/也/感謝/警方/協助/搜尋/湖分局/表示/警方/接獲/民眾/報案/指稱家/失智/老翁/外出/失聯/湖分局/分局長/獲/指示/全員/出動/協助/家屬/尋找/兵/分/多路/家屬/表示/老翁/出門/疫苗/警方/失蹤者/最後/出現/地點/出發點/翻/新頭/湖/漁村/等/社區/鄰近/山林/海域/等/實施/地毯式/搜尋/無結果/透露/搜救/擔心/老翁/歸/警方/轄區/圖/分析/可能/行走/方向/再次/出動/警力/協尋/直/終於/傳來/老翁/好心/民眾/送回家/讓/搜尋人員/相當/欣喜/警方/說/見老/翁狀況/大礙/心繫/騎/機車/尋回/說/機車/倒/山/草叢/確切/地點/知道/警方/陪同/老翁/家屬/踏遍/新頭/樹叢/小徑/獲/轉/碧湖社區/方/林地/尋找/終於/離/碧湖社區/方/處林/間/小徑/尋獲/機車/老翁/欣喜/表達/感謝/湖分局/再次/呼籲/家/有/失智/老人/家屬/多/加/關懷/照顧/縣府社會/處/衛生局/等/相關/單位/申請/定位/手錶/失智/手環/QRcode/衣物/貼紙/GPS/定位/系統/協助/長者/配戴/避免/類此/事件/再度/發生,udn,社會
13,14,策/劃/大麻包裹/空運/來/台/竹聯/狂/飆甩/警/逮,2022-04-12 14:59,/news/story/7315/6233427?from=udn-catebreaknews_ch2,竹聯/幫/朱姓/分/會長/找來/同樣/有/黑幫背景/張姓/男子/利用/各國/管制/法令/差異/毒品/美/加/地區/合法/愷他/命/多國/合法/寄出/大麻/毒包裹/空運/回台/闖關/海關/警方/發現/警方/逮捕/人/逃亡/到/區/時速/破/要/甩開/警方/最後/警方/產業/道路/逮捕/刑事局/偵查/接獲/財政部/關務署/關/通報/海關/執行/航空郵/包/檢查/發現/可疑包裹/會同/警方/查驗/發現/裹/寄出/糖果/餅乾/玩具/品項/檢視/包裹/內部/高/密度泡棉/緊緊/包覆/拆開/泡棉/發現/藏/大麻/共計/刑事局組/追查/專案/小組/配合/警方/部署/先/逮捕/負責/收貨/張姓/男子/溯源/發現/幕後/主謀竹聯/幫/朱姓/分/會長/驚覺/事跡/敗露/駕車/逃竄/警方/鎖定/行蹤/展開/圍/捕/發現/警方/跟監/跑/陽明山區/破/速/狂飆/山區/道路/曲折/蜿蜒/甩開/警方/追/專案/小組兵/分/多路/道路圍/捕/最後/產業/道路/圍/捕/到案/警方/調查/黑幫/集團/利用/各國/管制/法令/差異/部分/毒品/合法/高風險/國家/寄出毒包裹/到/刑事局/相關/情資/同步/通報/國際/刑警/組織/追查/境/法/販毒/集團/販毒/網絡,udn,社會
14,15,登山/婦/險/拖進/草叢/性侵/持刀/狼/襲/胸逞/慾/重判,2022-04-12 14:36,/news/story/7321/6233346?from=udn-catebreaknews_ch2,判刑/定讞/簡姓/男子/出獄/涉嫌/持刀/強押/歲/女性/鄉間/小路/企圖/女子/軌/幸經/路人/經/罷手/逃逸/地方/法院/認為/簡/珍視/更生/生活/依/攜帶/兇器/強制罪/重判/判決/指出/攜帶/彈簧刀/騎車/經/竹坑山/區小路/看到/婦人/行經/路段/停妥/機車/快步/婦人/方/接近/先/徒手/勒住/婦人頸部/再/手/摸/婦人胸部/沒料/猥褻/得逞/罷手/見/無人/持刀/恫嚇/婦人/亂動/打算/婦人/強押/小路/企圖/軌/幸/正好/有/路人駕駛/小貨車/經/婦人/趁機/呼救/掙扎/見/有/人/靠近/逃離/作案/現場/騎車/方向/逃逸/轄區/警方/獲/鎖定/落/當/持拘/票/逮捕/起初/否認/犯案/供稱/女子/發生/行車/糾紛/有/肢體/拉扯/說/詞/反覆/詢/依/妨害/自由罪/移送/地檢署/檢方/調查/依/強制/性交/未遂罪/聲押/獲准/調查/依/妨害性/自主罪/起訴/地方/法院/審理/簡/坦承/犯行/法官/根據/婦人/證詞/認為/簡/涉嫌/脅迫/行為/到/短案/掐捏/婦人胸部/其餘/時間/勒/恫嚇/試圖/婦人/拖/小路/繼續/襲/觸摸/其他/隱私/部位/脫/去/婦人/衣物/其他/顯示/進一步/強制/性交/外部/表徵/行為/法官/認為/行為/僅/構成/強制/猥褻/達/強制/性交/未遂/程度/審酌/殺人案/判刑/確定/出獄/珍視/更生/生活/反/再犯/重刑/考量/婦人/和解/依/攜帶/兇器/強制/猥褻罪/判刑/上訴,udn,社會
15,16,造船廠/舞蹈/教室/感染源/電廠/群聚,2022-04-12 16:22,/news/story/120940/6233673?from=udn-catebreaknews_ch2,宣布/新增/確診/縣府/再/增加/公布/立案/號/個案/私立/慧燈/中學/學生/國小/老師/針對/釐清/造船廠/外包/廠商/員工染疫/請求/協助/基因/定序/證實/電廠/確診者/基因/定序/相同/推定/造船廠/個案/舞蹈/補習班/感染源/電廠/疫情/疫情/主要/舞蹈/教室/家族/聚餐/群聚/傳播/鏈/造船廠/邵/外包/廠商/員工/確診/查/出/感染源/縣/衛生局/請求/協助/基因/定序/發現案/舞蹈/教/室助/教/案/造船廠/外包/廠商/員工/基因/序列/相同/案/電廠/確診者/一致/推定/造船廠/個案/舞蹈/教室/感染源/電廠/群聚/疫情/有關/衛生局/說明/新增/案例/舞蹈/教室/關聯/個案/案/案/舞蹈/教室/關聯案/孩子/家人/居家/隔離/陰轉/陽/進行/解除/隔離/篩檢/陽性/確診/CT/值/家族/聚餐/群聚/案衍/伸/案/案/案/案/縣/聚餐/群聚案/個案家/聚餐/確診/個案/相關/親戚/職場/接觸者/衛生局/進行/疫/調/匡列/檢測/陽性/確診/有/述/群聚案/無關/聯/案/歲/男性/發燒/腹瀉/自行/購買/快篩/試劑/篩檢/陽性/醫院/PCR/檢查/也/陽性/CT/值/案/歲/男性/到/縣市/朋友/聚餐/朋友/確診/自行/購買/快篩/試劑/篩檢/陽性/PCR/檢查/也/陽性/CT/值/有/有/案號/的確/診個案/慧燈中學/女學生/國小/女老師/公布/於/學校/有關/合計/擴大/進行/名師生/篩檢/縣/衛生局/先/公布/個個案/縣長/指示/衛生局/緊急/聯繫/醫療/團隊/進駐/相關/場域/設立/篩檢/站,udn,要聞
16,17,女胸刺布袋戲/大/失敗/黑鼻/眼神/歪法院/判/刺青師/賠,2022-04-12 14:59,/news/story/7321/6233422?from=udn-catebreaknews_ch2,陳姓師/替/張姓/女子/左肩/胸刺/提供/人物圖/張/認為/品/失敗/鼻子刺成/眼神/也/不對/同精神/撫慰/陳/求償/陳/認為/照/圖刺/強調/五官/立體/等/法院/比/勘驗/直言/肉眼/望/知/刺青成品/嚴重/錯誤/判/給付/上訴/控訴/預約/刺青/提供/布/袋戲人物/圖案/陳刺/左肩/胸/等/支付/費用/起初/好草圖/印/去/問題/討論/顏色/風格/成品/原/圖色澤/五官/構圖/水準/說/布袋戲/人物/鼻子/眼神/也/不對/也/只有/花/認為/身/刺青/失敗/紋身/造成/抑鬱/失眠/事後/再花/請求/修改/另/包括/雷射/費/精神/損害/一共/求償/抗辯/稱/依照/提供/圖案/刺青/印/草稿/張/也/有/思考/空間/張/提供/圖案/選/張/意見/作品/呈現/張/提供/圖片/吻合/幫/修補/滿意/表示/顏色/也/依/原本/圖案刺/鼻子/陰影/有/原/圖臉部/陰影/修飾/特/寫下/刺/出來/很黑/有/強調/五官/立體/眼神/也/參考/圖片/台中地/院/比/提供/照片/身/刺青/圖案/等/認為/肉眼/望/知/替/刺青/成果/顯然/人物/臉/鼻子/頰光影/嚴重/錯誤/人物/眼睛/頭飾/也/有/一定/程度/失真/法院/指出/紋身/刺青契約/確/屬陷/給付/情形/刺青/身/也/法/侵害/身體/負/損害/賠償責任/法院/審酌/刺/修補/無效/求償/雷射/法/有據/另/認定/精神/撫慰/適當/一共/判/給付,udn,社會
17,18,社交/距離/APP/下載/長/時間/逗留/實聯制,2022-04-12 16:07,/news/story/122190/6233602?from=udn-catebreaknews_ch2,國內/新增/COVID/本土/個案/再/創/單日/新高/疫情/指揮/中心/鼓勵/下載/APP/下載/長/時間/逗留/場域/使用/此/流行/疫情/指揮/中心/發言人/疫情/記者會/公布/國內/新增/COVID/冠狀/病毒/疾病/確定/病例/本土個案/境/外移/入/航班/落地/採/陽性/另/確診/個案/新增/死亡/個案/分布/縣市/最多/次之/第3/其餘/國內/新增/本土/個案數/持續/攀升/防疫/進入/正常/生活/積極/防疫/穩健/開放/原則/新/模式/鼓勵/民眾/下載/台灣/社交/距離/APP/進入/場域/僅/出示/APP/畫面/得/用/其他/實聯制/措施/只/要/確診者/有/超過/接觸/史/接獲/通知/進一步/說明/依據/台灣/社交/距離/APP/特性/使用場/有/限制/建議/優先/使用場/活動/逗留/時間/至少/餐廳/運動/中心/演唱會/遶境/等/域/活動/短/時間/逗留場/所/超商/等/建議/台灣/社交/距離/APP/替代/現行/實聯制/指揮/中心/資訊/組組長/說/台灣/社交/距離/APP/截/累計/下載/增加/安裝者/主動/上傳率/高達/歲/族群/安裝/推廣/目標/指揮/中心/補充/說明/公布/案/境/外移/入/病例/經/調/發現/個案/電廠/工程/染疫/移工/改判/本土/病例/指揮/中心/統計/土病例/共/人/輕症/症狀者/占/重症個案/共/人/症/占/重症/症個案/人/年齡/歲/歲/重症/累計/死亡/年齡/歲/歲/本土/疫情/延燒/有/上/個案/輕症/無症狀/指揮/中心/呼籲/Omicron/變異株/有輕/症化/傾向/高齡者/有重/症/死亡/風險/要/呼籲/盡/疫苗/國內/COVID/疫苗/接種/人/疫苗/接種人/口/涵蓋率/追加劑/接種率,udn,要聞
18,19,增/雙北/相關/感染源/明,2022-04-12 16:32,/news/story/120940/6233716?from=udn-catebreaknews_ch2,CDC/公布/新增/市長/說/有/移出/個案/實際/雙/相關/的確/診案例/共/有確診者/假/家族/掃墓/的確/診者/有/密切/接觸/另/有/感/源源/明/疫/調/釐清/針對/疫情說明/居家/隔離/人數/人/減少/人/自主/健康/管理/人/增加/人/全市/社區/篩檢/站/也/持續/進行/全市/篩檢/站共/計/篩檢/人/共計/篩檢/人/說/工地/衍生/社區/群聚/相關/有/衍生/到/家庭/群聚/有/原/匡列居/隔/對象/新增/家庭/群聚/相關/共/有/家庭/共/原本/匡列/另/有/家庭/有/新增/工廠/群聚/相關/保險/公司/職場/群聚/相關/表示/雙/相關/的確/診案例/共/IKON/TAIPEI/酒/群聚/衍生/家庭/相關/酒店/相關/確診/個案/衍生/家庭/群聚/假/家族/掃墓/的確/診者/有/密切/接觸/匡列居/隔/PCR/陽性/確診/確診/個案/衍生職場/相關/中山區/職場/相關/職場/衍生/家庭/相關/匡列居/隔/陽性/確診/疫/調/案/歲/女性/進一步/疫/調/案/自行/購買/快篩/試劑/呈/陽性/通報/衛生局/防疫/計程車/載送/醫院/採/確診/送/集中/檢疫所/案/身體/舒服/自行/去/醫院/PCR/採/陽性/確診/案/身體/不適/使用/愛心/快篩/試劑/陽性/經/衛生局/安排/醫院/篩檢/陽性/確診/案/歲/女性/報關/行/從業/人員/疫/調/案/身體/不適/家人/帶到/醫院/PCR/採/陽性/確診/案/學生/自行/快/篩篩結果/呈/陽性/經/PCR/複檢/陽性/確診/案/歲/男性/身體/不適/醫院/採/確診/疫/調,udn,要聞
19,20,要/北北/桃/也/做/類普篩/加發/快篩,2022-04-12 16:34,/news/story/122190/6233723?from=udn-catebreaknews_ch2,國內/疫情/升溫/衛福部長/受訪/表示/先前/效果/不錯/盼/高風險/區域/比照/辦理/市長/說/侯/說/有/篩檢/站/篩檢/量/全國/第一/有意/多/地方/廣播/受訪/提及/北北基桃/風險/比較高/區域/先前/基隆類/普/篩效果/不錯/篩出/人/PCR/陽性/及早/找出/病例/社區/盼/高風險/區域/比照/辦理/說/指揮/中心/發放/快篩/試劑/北北基桃/聯繫/縣市/府/提出計畫/擬定/實施/區域/對象/表示/開始/廣設/篩檢/站/設/全國/最多/篩檢/站/撤/篩檢/量/全國/第一/截/得/篩檢/量/達/包括/專案/篩檢數/也/投下/很多/資源/社區/篩檢/包括/先前/專案/三峽案/發/約/給/師生/家長/侯/說/有意/要/多/快篩/試/劑地方,udn,要聞
20,21,快篩/只/戳/鼻孔/指揮/中心/曝/改用/唾液/篩檢/可能/性,2022-04-12 16:09,/news/story/122190/6233646?from=udn-catebreaknews_ch2,國內/試劑/約/比/各國/貴/立委/要求/儘速組/快篩/國家隊/政院/擬/規畫/徵用/國內外/快篩/試劑/比照/口罩/實名制/推出/單劑/快/篩實名制/另/媒體/也/關心/鼻咽/採/快篩/用/唾液/篩檢/此/指揮/中心/發言人/說/只/要/廠商/送審/經/食藥署/審核/通過/使用/市/售快篩/試劑/約/左右/民眾/抨擊/價格/太高/表示/預估/月底/快/篩價格/降低/到/此/回應/徵/用快/篩部分/持續/進行/希望/月底/壓/低價格/鼻咽/採/需/用長棉/棒/深入/鼻腔/採/檢過程/易/民眾/感到/不適/出現/酸感/流鼻水/流淚/甚至/流鼻血/等/人/期望/唾液/採/取代/現有/鼻咽/採/回應/國內/快篩/試劑/要/上市/銷售/只/要/廠商/送審/到/食/藥署/通過/核/販售/無論/廠商/自行/研發/國/進口/代理/廠商/研發/唾液/快篩/希望/鼓勵/廠商/來/研發/要求/入境/旅客/購買/旅遊/保險/支付/相關/感染/治療/住院/費用/保險/金額/最低/新幣/國/進來/疫情/嚴峻/要求/入境/者/自備/防疫/險/說/入境/防疫/險/主要/依據/法定/傳染病/法/針對/國人/國人/因應/防疫/需要/生病/住院/隔離/費用/公費/付出/國法/令/有/不同,udn,要聞
21,22,出國/返台/隔離/有/可能,2022-04-12 16:33,/news/story/122190/6233722?from=udn-catebreaknews_ch2,出國/回國/隔離/指揮/中心/指揮官/日/答詢/表示/有/可能/性/認為/到/疫情/下降/隔離條件/可能/性/方國家/疫情/差不多/更好/立法院/召開/院/邀請/行政院長/提出/施政/方針/施政/報告/備/質詢/民進黨/立委/詢問/指出/條件/提下/決定/讓/國人/出國/返台/再/進行/隔離/答詢/這有/可能/性/國家/疫情/染疫率/差不多/國人/去/回來/疫情/同水位/基本/沒差/說明/疫情/正/下降/大概/降到/新增/確診/人數/來/管控/好/可能/降到/疫情水平/差不多/比/更好/大概/水/平移/動/也/需要/特別/去/管理/說/疫情風險/差不多/比/低/邊境/管制/滿/自由/風險/相同/開放/方國家/疫情/很嚴重/風險/比較高/規劃/隔離/天數/合理地/往/下降/說明/風險/比較高/國家/降低/檢疫/天數/風險/相同/較低/開放/也/判斷/認為/到/疫情/往/下降/有/變異數/基本/往/下降/趨勢/最後/重述/確認/表示/意思/國人/出國/回國/隔離/期待/表示/有/可能/性,udn,要聞
22,23,自承/提名/機率/低/坦言/想/離開/國民黨,2022-04-12 16:20,/news/story/122682/6233544?from=udn-catebreaknews_ch2,宣布/爭取/市長/選舉/黨/提名/市議員/說/提名/機率/微乎/極微/只有/機率/也/也/坦承/想/離開/國民黨/時間點/國民黨/重返/執政/辦法/黨/弱/離開/宣布/爭取/提名/國民黨/秘書長/表示/徵詢/地方/參考/民調/基本/排除/提名/接受/網路/節目/新聞/芹菜/主持人/專訪/表示/怕/失敗/人/嚴格/來/說/提名/機率/微乎/極微/只有/機率/也/人生/哲學/活/把握/動機/想做/說/政治/生涯/最低/潮/發願/要/選/市長/初選/看起來/定於/決定/大局/重/放下/個人/心願/事/逗點/強調/局面/一樣/人/正式/表態/唯一/表態/要/選/只有/決定/到/走/到處/學習/請益/認為/也/說/一定/要/提名/參選/權利/名/尊重黨/決定/說/做/民調/過去/公布/黨/說服/選/原因/第一/民調/差/第二/地方/議員/認為/很弱/開始/走/看/民調/黨/排名/吊車尾/到/民調/排名/到/第2/表示/找/房子/唯一/考量/價錢/荷包/不深/買/很便宜/房子/戶籍/遷/過去/有/誠意/也/說/想/離開/國民黨/時間點/國民黨/重返/執政/國民黨/有/提攜/恩/辦法/國民黨/弱/離開/野/制衡/力量/很薄弱/力量/瓦解/知道/民主/淪落/到/處境,udn,要聞
23,24,分局/刑警/確診/人/送/證物/入庫/士檢/急清/消,2022-04-12 16:06,/news/story/120940/6233641?from=udn-catebreaknews_ch2,台/警分局/爆/刑警/確診/人/送/證物/到/地檢署/入庫/士檢/接獲/衛生/單位/通報/針對/贓/物庫/全面/消毒/據悉/士檢/接獲/健康中心/通知/有確診者/足跡/出現/在地/檢署/士檢/表示/完成/環境/清/消,udn,要聞
